Filename,Movement Detected,Animal Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0114.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0115.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0116.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0117.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0118.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0119.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0120.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0121.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0122.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0123.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0124.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0125.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0126.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0127.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0128.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0129.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0130.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0131.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0132.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0133.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0134.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0135.AVI,True,True
