Filename,Movement Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0137.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0138.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0139.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0140.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0141.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0142.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0143.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0144.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0145.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0146.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0147.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0148.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0149.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0150.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0151.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0152.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0153.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0154.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0155.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0156.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0157.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0158.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0159.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0160.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0161.AVI,True
